iter	RMSE
166	4.463896154
167	4.458182057
168	4.457445613
169	4.453921581
170	4.451065388
171	4.445749133
172	4.442637565
173	4.441355884
174	4.437069196
175	4.432713902
176	4.428878472
177	4.428268646
178	4.423396581
179	4.420288323
180	4.416577475
181	4.41308254
182	4.410849504
183	4.407120511
184	4.405034652
185	4.399545264
186	4.3992246
187	4.393972746
188	4.388891494
189	4.385138838
190	4.380604932
191	4.380125647
192	4.376618051
193	4.372504349
194	4.369199766
195	4.366671767
196	4.366478923
197	4.365939592
198	4.363692549
199	4.361016864
200	4.358286898
201	4.354385852
202	4.349845187
203	4.346239059
204	4.340097431
205	4.337827533
206	4.333758622
207	4.330843894
208	4.327971239
209	4.32473282
210	4.324544902
211	4.322609548
212	4.319452873
213	4.316813087
214	4.315073757
215	4.31213303
216	4.310445399
217	4.306965468
218	4.304860811
219	4.301331709
220	4.297703201
221	4.295476573
222	4.29315027
223	4.292850464
224	4.289486107
225	4.285943333
226	4.283078192
227	4.282913819
228	4.28007136
229	4.276094203
230	4.275928014
231	4.273755503
232	4.271793416
233	4.269436393
234	4.266371959
235	4.263775615
236	4.260114645
237	4.258841481
238	4.253679481
239	4.2496969
240	4.248330306
241	4.246772403
242	4.244743345
243	4.244521631
244	4.240816829
245	4.237342044
246	4.235273788
247	4.231457125
248	4.229205541
249	4.228910985
250	4.224703711
251	4.221904552
252	4.21962023
253	4.216926866
254	4.215360029
255	4.213576886
256	4.211840604
257	4.209371003
258	4.206256994
259	4.202360477
260	4.199468883
261	4.197487031
262	4.195978332
263	4.195677307
264	4.191945031
265	4.189595485
266	4.187886937
267	4.186011687
268	4.182295734
269	4.180193909
270	4.176521674
271	4.173518543
272	4.1705119
273	4.168696224
274	4.165389932
275	4.163489119
276	4.159909289
277	4.157474471
278	4.155333132
279	4.151915754
280	4.149820615
281	4.146604251
282	4.142542617
283	4.139907226
284	4.136677056
285	4.133574929
286	4.132104494
287	4.12753152
288	4.126302736
289	4.125277377
290	4.122946432
291	4.121310935
292	4.121000835
293	4.120205329
294	4.118184466
295	4.113661829
296	4.112245038
297	4.110141622
298	4.108338315
299	4.10400833
300	4.100629903
301	4.098400847
302	4.096464225
303	4.094179085
304	4.092575829
305	4.091374828
306	4.088080659
307	4.085919672
308	4.084590363
309	4.081749761
310	4.078723738
311	4.078412061
312	4.076214157
313	4.073053995
314	4.072651474
315	4.070538787
316	4.066662427
317	4.062789917
318	4.061414994
319	4.059504451
320	4.056029013
321	4.052830997
322	4.049036486
323	4.046471739
324	4.044107113
325	4.042666975
326	4.040656644
327	4.036144169
328	4.034969354
329	4.032627147
330	4.030792275
331	4.028686825
332	4.027314933
333	4.025862252
334	4.024045772
335	4.022061199
336	4.020008421
337	4.017881505
338	4.016958603
339	4.015803875
340	4.013365883
341	4.011778742
342	4.010827581
343	4.008834589
344	4.00438701
345	4.003315358
346	4.002131269
347	3.998342578
348	3.996785317
349	3.994206907
350	3.993870322
351	3.991620157
352	3.988259128
353	3.987696104
354	3.985744234
355	3.984243029
356	3.982408727
357	3.980909178
358	3.97932436
359	3.977318906
360	3.975879396
361	3.973748519
362	3.97286698
363	3.971630224
364	3.968995317
365	3.967595295
366	3.96567182
367	3.964384172
368	3.961653641
369	3.960302365
370	3.959196829
371	3.958568107
372	3.957132298
373	3.955617403
374	3.955128605
375	3.953928792
376	3.952796353
377	3.951961607
378	3.949962234
379	3.948989609
380	3.945878469
381	3.944221761
382	3.942382956
383	3.939970975
384	3.935750055
385	3.934548995
386	3.931618429
387	3.929820483
388	3.928013296
389	3.927632604
390	3.924431011
391	3.919309862
392	3.917439207
393	3.915172929
394	3.913585225
395	3.911921209
396	3.908080143
397	3.904719676
398	3.903257043
399	3.899071699
400	3.896721045
401	3.895746221
402	3.892929908
403	3.891438546
404	3.889706148
405	3.886543272
406	3.883408699
407	3.882194758
408	3.879301541
409	3.876900488
410	3.874591693
411	3.872245159
412	3.869507331
413	3.867473299
414	3.866439082
415	3.864935854
416	3.863564493
417	3.862382598
418	3.861688465
419	3.859399439
420	3.858097892
421	3.855655326
422	3.854213637
423	3.852234893
424	3.851572511
425	3.848488798
426	3.846549824
427	3.84513693
428	3.843580872
429	3.842513245
430	3.840996152
431	3.837839621
432	3.83594149
433	3.833204237
434	3.830815649
435	3.828412195
436	3.827211427
437	3.825658779
438	3.824375397
439	3.823354775
440	3.820289191
441	3.819471463
442	3.817577214
443	3.815856397
444	3.814562987
445	3.811803695
446	3.810293502
447	3.808132999
448	3.805999582
449	3.804791639
450	3.801617372
451	3.799169661
452	3.798322367
453	3.797260283
454	3.796993882
455	3.796178113
456	3.794534988
457	3.793546852
458	3.791803959
459	3.790495132
460	3.788780469
461	3.787084322
462	3.785214813
463	3.783539688
464	3.781905828
465	3.780775003
466	3.779403187
467	3.776987625
468	3.773892123
469	3.771998683
470	3.770884586
471	3.770033266
472	3.765559851
473	3.762002054
474	3.759540091
475	3.757748418
476	3.756457922
477	3.753825439
478	3.753068706
479	3.751942199
480	3.749678837
481	3.748782168
482	3.747390641
483	3.745118446
484	3.743191298
485	3.74172936
486	3.740523867
487	3.737822329
488	3.737648941
489	3.734521978
490	3.733311151
491	3.732034407
492	3.729601932
493	3.727352465
494	3.72489813
495	3.72313963
496	3.721824397
497	3.721260837
498	3.719231172
499	3.716713203
